id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
236,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,5,8,1.281
237,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
238,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
239,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,17,20,1.281
240,BG_Hydro_Reservoir,BG_E_Demand,2050,1,1.0,1.0,21,24,1.281
241,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
242,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
243,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
244,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
245,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
246,BG_Nuclear,BG_E_Demand,2050,1,1.0,1.0,21,24,0.0
247,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,1,4,0.0
248,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
249,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
250,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
251,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
252,BG_OCGT,BG_E_Demand,2050,1,1.0,1.0,21,24,0.0
253,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,1,4,0.864
254,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
255,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
256,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
257,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,17,20,0.7432948275608404
258,BG_Pump_Hydro_Closed,BG_E_Demand,2050,1,1.0,1.0,21,24,0.864
259,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,1,4,0.49924326947691133
260,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,5,8,0.0
261,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,9,12,0.0
