id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
325,CH_H_Demand,2050,1,19,19,4897.188369488531
326,CH_H_Demand,2050,1,20,20,4897.188369488531
327,CH_H_Demand,2050,1,21,21,-14691.565108465593
328,CH_H_Demand,2050,1,22,22,4897.188369488531
329,CH_H_Demand,2050,1,23,23,4897.188369488531
330,CH_H_Demand,2050,1,24,24,4897.188369488531
331,CH_H_Demand,2050,2,1,1,-19804.962536445015
332,CH_H_Demand,2050,2,2,2,6601.654178815005
333,CH_H_Demand,2050,2,3,3,6601.654178815005
334,CH_H_Demand,2050,2,4,4,6601.654178815005
335,CH_H_Demand,2050,2,5,5,-19804.962536445015
336,CH_H_Demand,2050,2,6,6,6601.654178815005
337,CH_H_Demand,2050,2,7,7,6601.654178815005
338,CH_H_Demand,2050,2,8,8,6601.654178815005
339,CH_H_Demand,2050,2,9,9,-19804.962536445015
340,CH_H_Demand,2050,2,10,10,6601.654178815005
341,CH_H_Demand,2050,2,11,11,6601.654178815005
342,CH_H_Demand,2050,2,12,12,6601.654178815005
343,CH_H_Demand,2050,2,13,13,-19804.962536445015
344,CH_H_Demand,2050,2,14,14,6601.654178815005
345,CH_H_Demand,2050,2,15,15,6601.654178815005
346,CH_H_Demand,2050,2,16,16,6601.654178815005
347,CH_H_Demand,2050,2,17,17,-19804.962536445015
348,CH_H_Demand,2050,2,18,18,6601.654178815005
349,CH_H_Demand,2050,2,19,19,6601.654178815005
350,CH_H_Demand,2050,2,20,20,6601.654178815005
351,CH_H_Demand,2050,2,21,21,-19804.962536445015
352,CH_H_Demand,2050,2,22,22,6601.654178815005
353,CH_H_Demand,2050,2,23,23,6601.654178815005
354,CH_H_Demand,2050,2,24,24,6601.654178815005
355,CH_H_Demand,2050,3,1,1,-20253.472355089394
356,CH_H_Demand,2050,3,2,2,6751.157451696465
357,CH_H_Demand,2050,3,3,3,6751.157451696465
358,CH_H_Demand,2050,3,4,4,6751.157451696465
359,CH_H_Demand,2050,3,5,5,-20253.472355089394
360,CH_H_Demand,2050,3,6,6,6751.157451696465
361,CH_H_Demand,2050,3,7,7,6751.157451696465
362,CH_H_Demand,2050,3,8,8,6751.157451696465
363,CH_H_Demand,2050,3,9,9,-20253.472355089394
364,CH_H_Demand,2050,3,10,10,6751.157451696465
365,CH_H_Demand,2050,3,11,11,6751.157451696465
366,CH_H_Demand,2050,3,12,12,6751.157451696465
367,CH_H_Demand,2050,3,13,13,-20253.472355089394
368,CH_H_Demand,2050,3,14,14,6751.157451696465
369,CH_H_Demand,2050,3,15,15,6751.157451696465
370,CH_H_Demand,2050,3,16,16,6751.157451696465
371,CH_H_Demand,2050,3,17,17,-20253.472355089394
372,CH_H_Demand,2050,3,18,18,6751.157451696465
373,CH_H_Demand,2050,3,19,19,6751.157451696465
374,CH_H_Demand,2050,3,20,20,6751.157451696465
375,CH_H_Demand,2050,3,21,21,-20253.472355089394
376,CH_H_Demand,2050,3,22,22,6751.157451696465
377,CH_H_Demand,2050,3,23,23,6751.157451696465
378,CH_H_Demand,2050,3,24,24,6751.157451696465
379,CY_E_Demand,2050,1,1,4,-0.0
380,CY_E_Demand,2050,1,5,8,-0.0
381,CY_E_Demand,2050,1,9,12,-0.0
382,CY_E_Demand,2050,1,13,16,-0.0
383,CY_E_Demand,2050,1,17,20,-0.0
384,CY_E_Demand,2050,1,21,24,-0.0
385,CY_E_Demand,2050,2,1,4,-0.0
386,CY_E_Demand,2050,2,5,8,-0.0
387,CY_E_Demand,2050,2,9,12,-0.0
388,CY_E_Demand,2050,2,13,16,-0.0
389,CY_E_Demand,2050,2,17,20,-0.0
390,CY_E_Demand,2050,2,21,24,-0.0
391,CY_E_Demand,2050,3,1,4,-0.0
392,CY_E_Demand,2050,3,5,8,-0.0
