id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
321,BE_Gas,2050,3,17,18,0.0
322,BE_Gas,2050,3,19,20,0.0
323,BE_Gas,2050,3,21,22,0.0
324,BE_Gas,2050,3,23,24,0.0
325,BE_Hydro,2050,1,1,2,-7.323031070427533e-13
326,BE_Hydro,2050,1,3,4,7.323031070427533e-13
327,BE_Hydro,2050,1,5,6,-0.0
328,BE_Hydro,2050,1,7,8,-0.0
329,BE_Hydro,2050,1,9,10,-0.0
330,BE_Hydro,2050,1,11,12,-0.0
331,BE_Hydro,2050,1,13,14,0.0
332,BE_Hydro,2050,1,15,16,-0.0
333,BE_Hydro,2050,1,17,18,5.526690216584029e-13
334,BE_Hydro,2050,1,19,20,-0.0
335,BE_Hydro,2050,1,21,22,-0.0
336,BE_Hydro,2050,1,23,24,-0.0
337,BE_Hydro,2050,2,1,2,-3036.7609222549045
338,BE_Hydro,2050,2,3,4,-3036.7609222549045
339,BE_Hydro,2050,2,5,6,-3036.7609222549045
340,BE_Hydro,2050,2,7,8,-3036.7609222549027
341,BE_Hydro,2050,2,9,10,-1518.3804611274522
342,BE_Hydro,2050,2,11,12,-0.0
343,BE_Hydro,2050,2,13,14,-0.0
344,BE_Hydro,2050,2,15,16,-0.0
345,BE_Hydro,2050,2,17,18,-1518.3804611274522
346,BE_Hydro,2050,2,19,20,-3036.7609222549045
347,BE_Hydro,2050,2,21,22,-3036.7609222549045
348,BE_Hydro,2050,2,23,24,-3036.7609222549045
349,BE_Hydro,2050,3,1,2,-0.0
350,BE_Hydro,2050,3,3,4,-0.0
351,BE_Hydro,2050,3,5,6,-0.0
352,BE_Hydro,2050,3,7,8,-0.0
353,BE_Hydro,2050,3,9,10,-0.0
354,BE_Hydro,2050,3,11,12,-0.0
355,BE_Hydro,2050,3,13,14,-0.0
356,BE_Hydro,2050,3,15,16,-0.0
357,BE_Hydro,2050,3,17,18,-0.0
358,BE_Hydro,2050,3,19,20,-0.0
359,BE_Hydro,2050,3,21,22,7.815970093361102e-14
360,BE_Hydro,2050,3,23,24,-7.815970093361102e-14
361,BE_OCGT,2050,1,1,2,0.0
362,BE_OCGT,2050,1,3,4,0.0
363,BE_OCGT,2050,1,5,6,0.0
364,BE_OCGT,2050,1,7,8,0.0
365,BE_OCGT,2050,1,9,10,0.0
366,BE_OCGT,2050,1,11,12,0.0
367,BE_OCGT,2050,1,13,14,0.0
368,BE_OCGT,2050,1,15,16,0.0
369,BE_OCGT,2050,1,17,18,0.0
370,BE_OCGT,2050,1,19,20,0.0
